,Driver,QualiPos,RacePos,DNF
980,alonso,13,20,True
981,hamilton,1,2,False
982,vettel,3,4,False
983,bottas,6,5,False
984,max_verstappen,7,8,False
985,perez,13,9,False
986,ricciardo,18,10,False
987,sainz,12,16,True
988,raikkonen,14,19,True
989,alonso,19,20,True
990,hamilton,1,1,False
991,vettel,6,3,False
992,bottas,4,5,False
993,raikkonen,5,8,False
994,perez,11,9,False
995,alonso,17,10,False
996,sainz,8,14,True
997,ricciardo,10,15,True
998,max_verstappen,13,16,True
999,vettel,3,1,False
1000,ricciardo,4,3,False
1001,max_verstappen,9,4,False
1002,alonso,15,5,False
1003,hamilton,1,6,False
1004,bottas,6,13,False
1005,sainz,12,17,True
1006,raikkonen,5,18,True
1007,perez,13,19,True
1008,hamilton,1,1,False
1009,perez,4,5,False
1010,raikkonen,16,7,False
1011,max_verstappen,18,8,False
1012,bottas,3,9,True
1013,vettel,8,12,True
1014,alonso,20,13,False
1015,sainz,10,17,True
1016,ricciardo,5,18,True
1017,hamilton,1,1,False
1018,vettel,3,2,False
1019,bottas,6,4,False
1020,raikkonen,2,5,False
1021,perez,7,6,False
1022,ricciardo,19,8,False
1023,sainz,17,11,False
1024,max_verstappen,20,12,False
1025,alonso,16,18,False
1026,vettel,1,1,False
1027,ricciardo,2,2,False
1028,raikkonen,3,3,False
1029,bottas,7,5,False
1030,perez,13,7,False
1031,max_verstappen,8,8,False
1032,sainz,14,9,False
1033,alonso,12,17,True
1034,hamilton,5,18,True
1035,hamilton,2,1,False
1036,vettel,4,3,False
1037,raikkonen,6,4,False
1038,bottas,3,5,False
1039,max_verstappen,17,9,False
1040,sainz,10,10,False
1041,alonso,12,11,False
1042,perez,9,12,False
1043,ricciardo,7,15,False
1044,hamilton,2,1,False
1045,vettel,4,2,False
1046,perez,7,3,False
1047,raikkonen,5,8,False
1048,max_verstappen,9,10,False
1049,alonso,19,11,False
1050,bottas,3,12,True
1051,ricciardo,10,15,True
1052,sainz,20,16,True
1053,hamilton,2,1,False
1054,vettel,13,3,False
1055,max_verstappen,8,4,False
1056,perez,5,5,False
1057,sainz,20,7,False
1058,ricciardo,3,10,False
1059,alonso,9,11,False
1060,raikkonen,18,16,True
1061,bottas,16,19,True
1062,hamilton,2,2,False
1063,bottas,6,3,False
1064,ricciardo,5,5,False
1065,perez,9,8,False
1066,max_verstappen,8,9,False
1067,sainz,11,13,False
1068,vettel,3,18,True
1069,raikkonen,19,19,True
1070,alonso,18,20,True
1071,hamilton,2,2,False
1072,vettel,3,3,False
1073,raikkonen,4,4,False
1074,bottas,7,5,False
1075,max_verstappen,9,9,False
1076,ricciardo,19,11,False
1077,perez,11,12,False
1078,alonso,20,15,False
1079,sainz,10,19,True
1080,hamilton,2,2,False
1081,raikkonen,3,3,False
1082,vettel,15,4,False
1083,perez,4,5,False
1084,ricciardo,5,6,False
1085,sainz,10,11,False
1086,bottas,6,13,False
1087,max_verstappen,11,16,False
